model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Random Walk,Y504,5.49,5.69,4184.09,0
Arima,Y504,11.35,12.23,7722.35,0
Theta,Y504,157.32,88.05,69274.77,0
Prophet,Y504,104.55,67.93,54113.76,0
Last Value,Y505,23.83,21.09,15032.54,0
Mean Value,Y505,105.89,69.19,48420.9,0
Random Walk,Y505,27.25,23.6,16857.17,0
Arima,Y505,12.11,11.32,5941.82,0
Theta,Y505,164.87,90.36,63041.48,0
Prophet,Y505,20.15,18.21,11318.83,0
Last Value,Y506,24.05,21.31,15075.07,0
Mean Value,Y506,105.95,69.23,48280.93,0
Random Walk,Y506,27.09,23.56,16704.95,0
Arima,Y506,31.52,27.07,19078.53,0
Theta,Y506,165.43,90.52,62987.74,0
Prophet,Y506,27.76,24.3,17008.84,0
Last Value,Y507,23.1,20.51,11622.92,0
Mean Value,Y507,99.65,66.47,37007.34,0
Random Walk,Y507,25.03,21.92,12415.1,0
Arima,Y507,12.84,11.97,5213.46,0
Theta,Y507,154.59,87.17,48379.21,0
Prophet,Y507,30.63,26.48,14817.99,0
Last Value,Y508,77.79,55.36,35054.54,0
Mean Value,Y508,126.09,77.12,47892.69,0
Random Walk,Y508,71.75,52.3,32925.38,0
Arima,Y508,84.23,58.63,37042.57,0
Theta,Y508,105.62,68.99,42698.57,0
Prophet,Y508,115.07,72.79,45301.99,0
Last Value,Y509,9.07,8.6,1604.08,0
Mean Value,Y509,60.57,46.46,8531.35,0
Random Walk,Y509,5.91,6.17,1122.17,0
Arima,Y509,2.76,2.72,314.46,0
Theta,Y509,99.88,66.58,12189.39,0
Prophet,Y509,86.47,60.32,11066.62,0
Last Value,Y510,1.96,1.94,853.19,0
Mean Value,Y510,19.29,17.59,7721.67,0
Random Walk,Y510,3.05,2.98,1315.17,0
Arima,Y510,0.13,0.13,57.65,0
Theta,Y510,37.76,31.76,13935.33,0
Prophet,Y510,29.47,25.68,11268.95,0
Last Value,Y511,18.92,17.24,5841.77,0
Mean Value,Y511,64.39,48.38,16082.89,0
Random Walk,Y511,24.04,21.09,7168.68,0
Arima,Y511,21.11,18.95,6447.94,0
Theta,Y511,65.54,48.88,16304.49,0
Prophet,Y511,38.5,31.89,10742.77,0
Last Value,Y512,9.82,9.26,1484.57,0
Mean Value,Y512,63.12,47.93,7531.57,0
Random Walk,Y512,27.6,23.47,3763.19,0
Arima,Y512,0.62,0.61,99.87,0
Theta,Y512,106.0,69.28,10862.27,0
Prophet,Y512,87.52,60.68,9536.13,0
Last Value,Y513,1.41,1.39,547.6,0
Mean Value,Y513,15.77,14.62,5726.28,0
Random Walk,Y513,1.48,1.49,553.63,0
Arima,Y513,0.06,0.06,24.65,0
Theta,Y513,36.66,30.97,12127.43,0
Prophet,Y513,26.78,23.59,9243.69,0
Last Value,Y514,11.45,10.71,3651.78,0
Mean Value,Y514,32.53,27.89,9359.52,0
Random Walk,Y514,11.42,10.65,3643.29,0
Arima,Y514,11.3,10.58,3606.88,0
Theta,Y514,27.97,24.37,8215.33,0
Prophet,Y514,2.14,2.16,415.28,0
Last Value,Y515,10.93,10.31,4538.37,0
Mean Value,Y515,62.14,47.39,20643.69,0
Random Walk,Y515,8.0,7.73,2451.67,0
Arima,Y515,9.04,8.6,3790.18,0
Theta,Y515,94.65,64.2,27921.07,0
Prophet,Y515,4.5,4.51,1746.2,0
Last Value,Y516,9.95,9.56,1905.45,0
Mean Value,Y516,94.59,64.11,12528.34,0
Random Walk,Y516,17.68,19.0,3539.44,0
Arima,Y516,9.56,9.37,1834.27,0
Theta,Y516,179.13,94.49,18370.63,0
Prophet,Y516,156.61,87.83,17074.97,0
Last Value,Y517,19.13,16.75,2517.0,0
Mean Value,Y517,48.83,38.77,5469.24,0
Random Walk,Y517,16.53,14.92,1754.27,0
Arima,Y517,16.97,15.05,2266.12,0
Theta,Y517,76.42,55.28,7572.65,0
Prophet,Y517,8.88,9.18,1046.76,0
Last Value,Y518,7.74,8.25,2397.57,0
Mean Value,Y518,16.71,18.46,5492.72,0
Random Walk,Y518,21.03,25.11,7308.64,0
Arima,Y518,8.23,8.78,2559.23,0
Theta,Y518,10.43,9.89,1936.38,0
Prophet,Y518,29.39,34.87,10432.67,0
Last Value,Y519,5.47,5.29,3111.59,0
Mean Value,Y519,53.66,42.29,24595.75,0
Random Walk,Y519,21.66,18.83,11112.01,0
Arima,Y519,0.39,0.39,232.43,0
Theta,Y519,106.91,69.66,40460.56,0
Prophet,Y519,53.09,41.34,24067.26,0
Last Value,Y520,34.68,28.51,3768.8,0
Mean Value,Y520,40.04,53.3,5833.8,0
Random Walk,Y520,9.96,9.32,1214.11,0
Arima,Y520,28.22,23.44,3188.86,0
Theta,Y520,76.89,126.58,14911.3,0
Prophet,Y520,92.03,59.04,7690.07,0
Last Value,Y521,8.19,7.81,2270.71,0
Mean Value,Y521,48.32,38.89,11157.67,0
Random Walk,Y521,16.19,14.61,4265.36,0
Arima,Y521,1.81,1.79,323.79,0
Theta,Y521,79.95,57.11,16364.12,0
Prophet,Y521,41.5,34.33,9855.05,0
Last Value,Y522,8.39,7.98,1454.62,0
Mean Value,Y522,74.53,54.28,9728.44,0
Random Walk,Y522,11.09,10.01,1835.4,0
Arima,Y522,0.2,0.2,35.96,0
Theta,Y522,147.09,84.76,15170.47,0
Prophet,Y522,71.85,51.89,9319.04,0
Last Value,Y523,17.93,16.21,12640.48,0
Mean Value,Y523,65.22,49.07,37315.8,0
Random Walk,Y523,10.11,10.1,7293.38,0
Arima,Y523,17.87,16.16,12606.46,0
Theta,Y523,142.68,83.12,63047.86,0
Prophet,Y523,69.47,50.76,38812.1,0
Last Value,Y524,51.99,73.92,42454.47,0
Mean Value,Y524,44.58,35.61,23495.43,0
Random Walk,Y524,44.33,58.86,34312.02,0
Arima,Y524,46.26,63.6,36217.22,0
Theta,Y524,83.27,55.16,36926.99,0
Prophet,Y524,31.27,41.5,22147.88,0
Last Value,Y525,18.17,16.52,6569.97,0
Mean Value,Y525,43.41,35.57,13986.04,0
Random Walk,Y525,9.09,8.68,2586.83,0
Arima,Y525,15.18,14.01,5569.11,0
Theta,Y525,62.21,47.14,18281.94,0
Prophet,Y525,3.27,3.36,1265.9,0
Last Value,Y526,14.95,13.81,1193.83,0
Mean Value,Y526,7.88,7.59,653.84,0
Random Walk,Y526,9.46,9.0,665.45,0
Arima,Y526,21.69,19.43,1675.16,0
Theta,Y526,2.72,2.71,194.78,0
Prophet,Y526,25.8,22.65,1953.2,0
Last Value,Y527,21.59,19.19,4294.8,0
Mean Value,Y527,115.94,73.35,15927.58,0
Random Walk,Y527,16.94,17.17,3246.19,0
Arima,Y527,18.19,16.35,3687.2,0
Theta,Y527,190.99,97.69,21160.42,0
Prophet,Y527,104.19,67.52,14703.13,0
Last Value,Y528,3.43,3.36,1106.28,0
Mean Value,Y528,26.79,23.62,7719.91,0
Random Walk,Y528,2.11,2.13,675.64,0
Arima,Y528,0.07,0.07,21.89,0
Theta,Y528,48.55,39.06,12757.55,0
Prophet,Y528,40.18,33.4,10920.35,0
Last Value,Y529,6.15,6.04,4130.0,0
Mean Value,Y529,57.09,44.32,29896.67,0
Random Walk,Y529,7.42,7.21,4823.53,0
Arima,Y529,9.66,10.45,6249.52,0
Theta,Y529,123.42,76.15,51260.0,0
Prophet,Y529,10.42,11.57,7288.33,0
Last Value,Y530,43.09,34.71,40987.21,0
Mean Value,Y530,124.93,76.77,86721.99,0
Random Walk,Y530,47.48,36.77,44222.51,0
Arima,Y530,42.18,34.1,40295.64,0
Theta,Y530,169.86,91.85,102988.82,0
Prophet,Y530,130.91,78.69,89038.91,0
Last Value,Y531,19.16,17.35,9716.76,0
Mean Value,Y531,130.68,79.03,43571.67,0
Random Walk,Y531,38.26,31.26,17512.21,0
Arima,Y531,3.34,3.38,1866.12,0
Theta,Y531,185.45,96.23,53010.44,0
Prophet,Y531,123.82,75.98,42004.1,0
Last Value,Y532,17.37,15.94,6100.76,0
Mean Value,Y532,23.2,20.76,7932.15,0
Random Walk,Y532,11.4,10.77,4094.89,0
Arima,Y532,14.94,13.86,5311.14,0
Theta,Y532,20.09,17.74,6867.14,0
Prophet,Y532,3.42,3.34,1073.89,0
Last Value,Y533,4.23,4.12,1558.27,0
Mean Value,Y533,77.61,55.9,20808.78,0
Random Walk,Y533,50.71,37.6,14241.3,0
Arima,Y533,4.94,5.06,1182.55,0
Theta,Y533,163.41,89.92,33430.79,0
Prophet,Y533,75.86,53.88,20094.83,0
Last Value,Y534,35.73,44.71,6854.03,0
Mean Value,Y534,10.03,9.0,1656.98,0
Random Walk,Y534,24.97,28.95,3140.27,0
Arima,Y534,48.61,67.47,10287.12,0
Theta,Y534,30.85,25.1,4408.08,0
Prophet,Y534,42.41,56.91,8613.29,0
Last Value,Y535,11.08,10.38,3159.11,0
Mean Value,Y535,71.39,52.57,15649.0,0
Random Walk,Y535,9.89,9.35,1989.14,0
Arima,Y535,0.68,0.68,209.09,0
Theta,Y535,126.58,77.52,23020.01,0
Prophet,Y535,65.66,48.67,14525.98,0
Last Value,Y536,31.33,26.91,7237.58,0
Mean Value,Y536,87.08,60.6,16119.13,0
Random Walk,Y536,26.93,23.64,6338.25,0
Arima,Y536,31.13,26.77,7198.62,0
Theta,Y536,150.08,85.73,22745.66,0
Prophet,Y536,25.91,22.8,6115.7,0
Last Value,Y537,4.58,4.46,972.67,0
Mean Value,Y537,20.07,18.23,3953.96,0
Random Walk,Y537,3.61,3.51,658.5,0
Arima,Y537,2.24,2.21,462.81,0
Theta,Y537,34.6,29.38,6364.44,0
Prophet,Y537,1.81,1.78,371.25,0
Last Value,Y538,31.53,26.53,9769.03,0
Mean Value,Y538,68.31,50.54,17915.79,0
Random Walk,Y538,31.25,26.47,9674.03,0
Arima,Y538,31.12,26.23,9661.33,0
Theta,Y538,45.68,37.15,13014.19,0
Prophet,Y538,59.06,45.22,16076.84,0
Last Value,Y539,28.36,25.48,23224.17,0
Mean Value,Y539,67.46,49.38,46006.64,0
Random Walk,Y539,38.07,30.26,24576.3,0
Arima,Y539,36.0,30.32,28451.55,0
Theta,Y539,97.78,65.29,58307.13,0
Prophet,Y539,25.57,25.61,19840.35,0
Last Value,Y540,28.57,25.59,22976.39,0
Mean Value,Y540,67.31,49.31,45147.66,0
Random Walk,Y540,31.45,32.53,19275.89,0
Arima,Y540,34.32,29.3,26871.92,0
Theta,Y540,106.38,68.93,60071.66,0
Prophet,Y540,25.26,25.35,19243.11,0
Last Value,Y541,2.52,2.48,350.5,0
Mean Value,Y541,29.16,25.44,3576.22,0
Random Walk,Y541,3.06,2.98,360.86,0
Arima,Y541,2.12,2.15,211.97,0
Theta,Y541,47.85,38.6,5421.7,0
Prophet,Y541,3.85,3.78,532.08,0
Last Value,Y542,8.46,8.39,5443.13,0
Mean Value,Y542,22.78,20.15,13609.3,0
Random Walk,Y542,7.84,8.14,4856.49,0
Arima,Y542,8.41,8.78,4904.37,0
Theta,Y542,35.32,29.5,19822.77,0
Prophet,Y542,8.72,9.31,4820.54,0
Last Value,Y543,19.99,17.78,1795.81,0
Mean Value,Y543,53.7,42.11,4113.71,0
Random Walk,Y543,28.35,24.08,2430.87,0
Arima,Y543,7.59,7.17,637.58,0
Theta,Y543,32.92,28.26,2730.3,0
Prophet,Y543,39.74,32.95,3230.64,0
Last Value,Y544,37.29,30.76,34792.39,0
Mean Value,Y544,93.48,63.47,69179.96,0
Random Walk,Y544,40.9,33.09,37482.11,0
Arima,Y544,29.61,25.17,28739.14,0
Theta,Y544,91.55,62.57,68211.62,0
Prophet,Y544,73.94,53.75,58754.17,0
Last Value,Y545,5.09,4.94,900.39,0
Mean Value,Y545,51.53,40.96,7393.84,0
Random Walk,Y545,2.95,2.9,280.89,0
Arima,Y545,0.12,0.12,21.29,0
Theta,Y545,105.96,69.26,12486.29,0
Prophet,Y545,83.81,58.89,10631.93,0
Last Value,Y546,38.64,31.45,32222.97,0
Mean Value,Y546,125.0,76.77,74281.14,0
Random Walk,Y546,35.62,29.25,29816.99,0
Arima,Y546,45.27,36.03,36530.99,0
Theta,Y546,98.59,65.62,61666.87,0
Prophet,Y546,61.41,46.7,45829.04,0
Last Value,Y547,11.61,12.61,840.0,0
Mean Value,Y547,12.76,13.96,931.0,0
Random Walk,Y547,13.37,14.73,980.0,0
Arima,Y547,11.82,12.87,856.14,0
Theta,Y547,10.56,11.29,630.0,0
Prophet,Y547,7.47,7.83,525.38,0
Last Value,Y548,36.13,30.18,6515.4,0
Mean Value,Y548,106.89,69.55,14622.0,0
Random Walk,Y548,41.03,33.61,7202.24,0
Arima,Y548,22.8,20.26,4162.01,0
Theta,Y548,140.37,82.46,17265.75,0
Prophet,Y548,38.73,32.32,6850.18,0
Last Value,Y549,27.79,24.18,21544.78,0
Mean Value,Y549,83.07,58.61,51373.28,0
Random Walk,Y549,33.93,28.58,25495.91,0
Arima,Y549,29.63,25.58,22773.72,0
Theta,Y549,101.77,67.4,58987.35,0
Prophet,Y549,27.02,23.66,20894.1,0
Last Value,Y550,2.16,2.13,231.03,0
Mean Value,Y550,14.77,13.76,1486.18,0
Random Walk,Y550,11.66,10.88,1178.4,0
Arima,Y550,2.91,2.86,309.75,0
Theta,Y550,55.94,43.7,4718.88,0
Prophet,Y550,62.96,47.86,5168.87,0
Last Value,Y551,24.08,20.96,10851.87,0
Mean Value,Y551,79.22,56.54,28020.8,0
Random Walk,Y551,33.84,27.27,14354.98,0
Arima,Y551,16.29,14.77,6667.35,0
Theta,Y551,137.51,81.48,39885.88,0
Prophet,Y551,17.84,15.89,8090.01,0
Last Value,Y552,14.89,13.59,1446.87,0
Mean Value,Y552,69.98,51.73,5312.69,0
Random Walk,Y552,3.25,3.19,260.7,0
Arima,Y552,6.96,7.23,393.49,0
Theta,Y552,105.39,69.01,7050.5,0
Prophet,Y552,12.66,11.9,885.26,0
Last Value,Y553,27.92,23.94,13474.96,0
Mean Value,Y553,108.15,70.07,37721.07,0
Random Walk,Y553,18.1,15.93,8808.65,0
Arima,Y553,12.74,13.7,4426.14,0
Theta,Y553,181.65,95.19,50832.51,0
Prophet,Y553,27.08,23.78,11548.29,0
Last Value,Y554,12.15,11.04,5193.32,0
Mean Value,Y554,78.62,56.23,24177.68,0
Random Walk,Y554,7.25,6.82,3230.42,0
Arima,Y554,14.42,15.7,3391.74,0
Theta,Y554,138.07,81.68,34707.69,0
Prophet,Y554,4.39,4.32,1938.38,0
Last Value,Y555,11.44,10.65,5465.69,0
Mean Value,Y555,70.46,52.04,25937.13,0
Random Walk,Y555,9.15,9.71,4177.27,0
Arima,Y555,19.71,17.73,8997.58,0
Theta,Y555,128.05,78.04,38806.55,0
Prophet,Y555,7.3,7.02,1660.77,0
Last Value,Y556,19.15,17.02,3623.15,0
Mean Value,Y556,121.13,75.38,15196.76,0
Random Walk,Y556,25.7,21.64,4648.45,0
Arima,Y556,6.46,6.12,1176.41,0
Theta,Y556,190.54,97.58,19596.95,0
Prophet,Y556,141.34,82.53,16608.39,0
Last Value,Y557,19.7,20.49,5746.3,0
Mean Value,Y557,113.43,71.95,21745.49,0
Random Walk,Y557,20.3,21.03,5906.68,0
Arima,Y557,28.69,32.99,8626.54,0
Theta,Y557,193.51,98.35,29007.9,0
Prophet,Y557,136.19,79.96,24177.59,0
Last Value,Y558,36.4,30.36,54828.57,0
Mean Value,Y558,114.85,72.87,127803.93,0
Random Walk,Y558,29.52,25.08,38722.0,0
Arima,Y558,30.55,26.07,47355.69,0
Theta,Y558,191.93,97.92,171091.38,0
Prophet,Y558,160.1,88.83,155230.54,0
Last Value,Y559,20.68,18.39,6521.74,0
Mean Value,Y559,64.28,48.47,16666.77,0
Random Walk,Y559,11.58,10.77,3686.9,0
Arima,Y559,14.51,13.23,4749.75,0
Theta,Y559,170.38,91.96,31302.13,0
Prophet,Y559,134.6,79.81,27369.69,0
Last Value,Y560,16.02,14.61,11431.17,0
Mean Value,Y560,89.95,61.99,47099.4,0
Random Walk,Y560,8.61,8.97,4954.15,0
Arima,Y560,4.82,4.96,2243.93,0
Theta,Y560,150.49,85.87,64959.57,0
Prophet,Y560,3.93,4.03,1638.51,0
Last Value,Y561,29.01,24.53,7337.88,0
Mean Value,Y561,92.35,62.83,17671.29,0
Random Walk,Y561,20.38,18.21,4611.17,0
Arima,Y561,11.53,10.96,2421.94,0
Theta,Y561,171.67,92.37,25489.2,0
Prophet,Y561,15.14,13.93,3273.57,0
Last Value,Y562,17.25,15.83,3866.32,0
Mean Value,Y562,117.84,74.14,17994.23,0
Random Walk,Y562,9.36,8.96,1723.38,0
Arima,Y562,17.19,15.79,3854.89,0
Theta,Y562,195.15,98.77,23961.49,0
Prophet,Y562,83.48,57.37,13898.89,0
Last Value,Y563,22.62,20.15,6828.37,0
Mean Value,Y563,103.72,68.26,22760.56,0
Random Walk,Y563,24.34,21.38,7114.98,0
Arima,Y563,34.82,29.51,9931.92,0
Theta,Y563,186.23,96.43,32087.97,0
Prophet,Y563,89.46,60.41,20291.34,0
Last Value,Y564,33.65,28.59,4830.0,0
Mean Value,Y564,62.67,47.59,7964.18,0
Random Walk,Y564,41.1,33.68,5706.81,0
Arima,Y564,32.4,27.67,4677.77,0
Theta,Y564,51.67,40.93,6775.11,0
Prophet,Y564,43.52,35.63,5972.11,0
Last Value,Y565,34.45,29.15,42362.97,0
Mean Value,Y565,141.31,82.78,118182.66,0
Random Walk,Y565,43.86,35.53,51359.09,0
Arima,Y565,11.91,11.22,9691.04,0
Theta,Y565,190.68,97.61,139121.61,0
Prophet,Y565,117.26,73.21,104758.27,0
Last Value,Y566,5.38,5.33,1554.13,0
Mean Value,Y566,99.43,66.39,19398.25,0
Random Walk,Y566,10.7,10.62,2824.76,0
Arima,Y566,8.93,8.46,2537.55,0
Theta,Y566,189.75,97.37,28408.31,0
Prophet,Y566,83.52,57.39,16818.26,0
Last Value,Y567,22.74,20.3,11902.2,0
Mean Value,Y567,98.57,66.0,38258.97,0
Random Walk,Y567,42.32,34.29,20129.14,0
Arima,Y567,32.13,27.6,16097.01,0
Theta,Y567,183.95,95.82,55454.59,0
Prophet,Y567,74.78,52.56,30702.04,0
Last Value,Y568,7.92,8.26,1570.12,0
Mean Value,Y568,29.73,25.88,4936.43,0
Random Walk,Y568,4.23,4.41,832.24,0
Arima,Y568,7.93,8.27,1571.96,0
Theta,Y568,62.08,47.3,9024.72,0
Prophet,Y568,26.11,22.75,4353.76,0
Last Value,Y569,16.01,15.26,13195.93,0
Mean Value,Y569,125.07,76.84,66242.86,0
Random Walk,Y569,29.03,25.18,22447.41,0
Arima,Y569,14.85,16.33,10516.67,0
Theta,Y569,193.18,98.27,84134.04,0
Prophet,Y569,194.4,98.58,84443.94,0
Last Value,Y570,10.69,10.49,11349.87,0
Mean Value,Y570,121.58,75.56,82475.64,0
Random Walk,Y570,11.06,10.68,5311.77,0
Arima,Y570,14.25,15.54,15213.6,0
Theta,Y570,197.57,99.39,108139.19,0
Prophet,Y570,153.04,86.47,93918.24,0
Last Value,Y571,18.0,20.2,10643.22,0
Mean Value,Y571,110.57,71.16,39074.19,0
Random Walk,Y571,21.19,24.02,12851.03,0
Arima,Y571,44.75,57.97,31893.21,0
Theta,Y571,194.31,98.56,53982.08,0
Prophet,Y571,142.56,82.85,45357.73,0
Last Value,Y572,23.52,23.96,15646.5,0
Mean Value,Y572,71.28,51.48,38232.02,0
Random Walk,Y572,11.41,13.05,6024.89,0
Arima,Y572,14.52,17.39,8951.4,0
Theta,Y572,120.72,75.07,52272.88,0
Prophet,Y572,13.16,15.48,8113.89,0
Last Value,Y573,5.0,5.22,700.02,0
Mean Value,Y573,25.2,22.23,3203.5,0
Random Walk,Y573,9.33,10.05,1394.23,0
Arima,Y573,4.93,5.13,689.87,0
Theta,Y573,70.23,51.85,7401.06,0
Prophet,Y573,22.32,19.95,2876.72,0
Last Value,Y574,13.59,12.82,2989.06,0
Mean Value,Y574,117.88,74.11,17030.44,0
Random Walk,Y574,28.14,24.11,5583.86,0
Arima,Y574,6.19,6.54,1393.36,0
Theta,Y574,196.63,99.15,22709.46,0
Prophet,Y574,152.72,86.37,19753.29,0
Last Value,Y575,14.51,13.81,17193.8,0
Mean Value,Y575,127.06,77.61,94916.64,0
Random Walk,Y575,22.65,20.42,25771.19,0
Arima,Y575,14.01,15.24,10564.46,0
Theta,Y575,193.31,98.3,119506.53,0
Prophet,Y575,35.69,30.07,37544.61,0
Last Value,Y576,14.71,13.94,17414.76,0
Mean Value,Y576,127.11,77.63,94935.91,0
Random Walk,Y576,20.14,18.4,18623.3,0
Arima,Y576,12.79,13.86,9869.47,0
Theta,Y576,193.24,98.28,119479.1,0
Prophet,Y576,35.75,30.12,37596.6,0
Last Value,Y577,17.45,20.17,7361.93,0
Mean Value,Y577,95.83,64.51,27408.37,0
Random Walk,Y577,23.44,27.84,8683.2,0
Arima,Y577,18.69,22.19,7981.5,0
Theta,Y577,189.75,97.37,40706.76,0
Prophet,Y577,194.56,98.65,41308.83,0
Last Value,Y578,10.12,10.84,1261.88,0
Mean Value,Y578,70.43,52.04,6275.9,0
Random Walk,Y578,7.06,7.53,845.53,0
Arima,Y578,24.34,27.9,3342.44,0
Theta,Y578,133.3,79.94,9607.27,0
Prophet,Y578,5.66,5.89,698.99,0
Last Value,Y579,11.65,11.63,2792.52,0
Mean Value,Y579,122.25,75.79,18899.11,0
Random Walk,Y579,25.26,22.41,5675.88,0
Arima,Y579,17.06,18.95,4170.92,0
Theta,Y579,191.95,97.95,24301.35,0
Prophet,Y579,193.33,98.3,24394.59,0
Last Value,Y580,7.36,7.84,2025.92,0
Mean Value,Y580,112.75,72.06,19962.39,0
Random Walk,Y580,13.99,15.7,3866.18,0
Arima,Y580,21.57,24.21,6563.36,0
Theta,Y580,195.58,98.88,27326.62,0
Prophet,Y580,146.98,84.38,23302.74,0
Last Value,Y581,1.34,1.33,367.82,0
Mean Value,Y581,28.17,24.69,6809.93,0
Random Walk,Y581,6.24,6.52,1779.88,0
Arima,Y581,0.72,0.72,110.19,0
Theta,Y581,48.11,38.78,10696.67,0
Prophet,Y581,41.07,34.04,9390.24,0
Last Value,Y582,7.61,7.26,2389.03,0
Mean Value,Y582,33.26,28.47,9220.24,0
Random Walk,Y582,10.56,9.87,3249.78,0
Arima,Y582,2.2,2.16,528.45,0
Theta,Y582,49.5,39.67,12814.06,0
Prophet,Y582,42.71,35.1,11364.69,0
Last Value,Y583,0.42,0.42,135.05,0
Mean Value,Y583,8.18,7.86,2549.59,0
Random Walk,Y583,1.07,1.06,344.76,0
Arima,Y583,0.05,0.05,15.75,0
Theta,Y583,18.43,16.8,5449.9,0
Prophet,Y583,13.6,12.73,4131.28,0
Last Value,Y584,1.63,1.62,789.39,0
Mean Value,Y584,18.03,16.54,8053.89,0
Random Walk,Y584,6.27,6.67,3126.13,0
Arima,Y584,0.33,0.33,91.65,0
Theta,Y584,37.43,31.52,15344.86,0
Prophet,Y584,29.3,25.53,12435.34,0
Last Value,Y585,16.19,17.02,3470.0,0
Mean Value,Y585,21.84,25.8,4882.94,0
Random Walk,Y585,24.58,28.3,5050.1,0
Arima,Y585,21.18,18.89,4372.75,0
Theta,Y585,30.08,25.9,4390.0,0
Prophet,Y585,23.96,28.7,5443.29,0
Last Value,Y586,15.05,14.56,1088.93,0
Mean Value,Y586,15.98,15.08,1153.2,0
Random Walk,Y586,28.07,24.9,1902.3,0
Arima,Y586,17.08,16.12,1227.1,0
Theta,Y586,106.4,65.91,5093.47,0
Prophet,Y586,34.84,43.18,3062.97,0
Last Value,Y587,6.2,6.24,2316.56,0
Mean Value,Y587,12.71,11.78,4505.59,0
Random Walk,Y587,5.97,6.07,1604.8,0
Arima,Y587,6.24,6.29,2332.06,0
Theta,Y587,29.01,35.3,12676.85,0
Prophet,Y587,9.04,8.56,2724.26,0
Last Value,Y588,30.25,36.36,7390.82,0
Mean Value,Y588,7.68,7.35,1646.59,0
Random Walk,Y588,13.35,14.0,1952.59,0
Arima,Y588,31.84,38.58,7858.62,0
Theta,Y588,110.99,70.82,14804.16,0
Prophet,Y588,30.65,26.32,5679.82,0
Last Value,Y589,14.44,13.8,3128.17,0
Mean Value,Y589,111.66,71.55,16226.35,0
Random Walk,Y589,12.03,11.7,2569.6,0
Arima,Y589,13.73,13.2,2980.73,0
Theta,Y589,192.56,98.1,22124.06,0
Prophet,Y589,191.99,97.95,22086.34,0
Last Value,Y590,11.12,10.23,2717.43,0
Mean Value,Y590,21.34,18.87,4864.54,0
Random Walk,Y590,19.31,16.87,4446.07,0
Arima,Y590,9.69,9.02,2395.03,0
Theta,Y590,108.72,69.58,17312.03,0
Prophet,Y590,49.68,39.5,9880.64,0
Last Value,Y591,7.69,7.35,4589.92,0
Mean Value,Y591,51.44,40.89,25174.92,0
Random Walk,Y591,24.04,20.5,12823.32,0
Arima,Y591,1.76,1.78,428.98,0
Theta,Y591,107.64,69.94,42938.72,0
Prophet,Y591,0.78,0.78,481.06,0
Last Value,Y592,2.7,2.75,1180.0,0
Mean Value,Y592,1.21,1.21,521.54,0
Random Walk,Y592,5.02,5.2,2234.3,0
Arima,Y592,2.98,3.03,1302.74,0
Theta,Y592,15.25,13.92,5830.0,0
Prophet,Y592,6.21,6.43,2770.49,0
Last Value,Y593,11.87,12.89,932.57,0
Mean Value,Y593,31.01,26.71,2038.66,0
Random Walk,Y593,8.55,8.01,531.04,0
Arima,Y593,11.42,12.39,894.63,0
Theta,Y593,59.05,45.49,3449.35,0
Prophet,Y593,22.4,26.32,1903.85,0
Last Value,Y594,2.11,2.07,360.0,0
Mean Value,Y594,16.42,15.16,2589.0,0
Random Walk,Y594,5.29,5.05,875.76,0
Arima,Y594,1.14,1.12,194.75,0
Theta,Y594,19.62,17.82,3030.0,0
Prophet,Y594,7.01,7.28,1066.19,0
Last Value,Y595,14.35,13.35,1620.0,0
Mean Value,Y595,21.23,19.16,2320.0,0
Random Walk,Y595,8.98,8.54,1038.67,0
Arima,Y595,6.58,6.69,652.01,0
Theta,Y595,24.86,21.65,2610.0,0
Prophet,Y595,29.97,26.04,3147.71,0
Last Value,Y596,34.14,28.6,31885.2,0
Mean Value,Y596,93.83,63.68,68681.78,0
Random Walk,Y596,31.27,26.36,29586.27,0
Arima,Y596,25.21,22.06,22329.95,0
Theta,Y596,136.01,80.91,86154.3,0
Prophet,Y596,44.38,36.07,39370.39,0
Last Value,Y597,15.57,14.19,6195.3,0
Mean Value,Y597,54.98,42.89,18083.6,0
Random Walk,Y597,17.67,15.81,6089.25,0
Arima,Y597,11.24,10.61,4580.13,0
Theta,Y597,72.29,53.08,22067.2,0
Prophet,Y597,13.42,12.42,4201.64,0
Last Value,Y598,2.38,2.35,550.0,0
Mean Value,Y598,14.73,13.72,3205.0,0
Random Walk,Y598,7.24,7.6,1771.04,0
Arima,Y598,1.58,1.56,366.39,0
Theta,Y598,27.9,24.43,5710.0,0
Prophet,Y598,1.41,1.42,321.45,0
Last Value,Y599,3.06,3.05,1000.0,0
Mean Value,Y599,27.82,32.41,10410.0,0
Random Walk,Y599,5.85,5.6,1755.66,0
Arima,Y599,2.55,2.46,832.34,0
Theta,Y599,58.67,83.2,26850.0,0
Prophet,Y599,8.94,8.28,2634.32,0
Last Value,Y600,3.66,3.73,2050.0,0
Mean Value,Y600,15.61,14.47,7973.75,0
Random Walk,Y600,4.61,4.79,2211.19,0
Arima,Y600,7.91,8.27,4544.43,0
Theta,Y600,35.9,30.42,16760.0,0
Prophet,Y600,12.98,13.99,7687.59,0
Last Value,Y601,8.02,7.59,2330.7,0
Mean Value,Y601,38.06,31.89,9516.43,0
Random Walk,Y601,10.98,10.27,3122.08,0
Arima,Y601,6.03,5.78,1740.95,0
